"","yrmonth","country","total_refusals","import_volume","import_volume_100k","import_volume_1M","year","month","USDA_transition01","USDA01","USDAxVolume","USDAxVolume100k","USDAxVolume1M","USDA_t01xVolume1M","country_cat"
"196","2015-02","VIETNAM",0,8845860,88.4586,8.84586,"2015","02",0,0,0,0,0,0,"VIETNAM"
"197","2015-03","CHINA",0,764330,7.6433,0.76433,"2015","03",0,0,0,0,0,0,"CHINA"
"198","2015-03","MEXICO",0,1961,0.01961,0.001961,"2015","03",0,0,0,0,0,0,"ROW"
"199","2015-03","PHILIPPINES",0,11467,0.11467,0.011467,"2015","03",0,0,0,0,0,0,"ROW"
"200","2015-03","VIETNAM",0,8121148,81.21148,8.121148,"2015","03",0,0,0,0,0,0,"VIETNAM"
"201","2015-04","BURMA",0,15940,0.1594,0.01594,"2015","04",0,0,0,0,0,0,"ROW"
"202","2015-04","CHINA",0,284897,2.84897,0.284897,"2015","04",0,0,0,0,0,0,"CHINA"
"203","2015-04","VIETNAM",0,9288858,92.88858,9.288858,"2015","04",0,0,0,0,0,0,"VIETNAM"
"204","2015-05","BANGLADESH",0,2532,0.02532,0.002532,"2015","05",0,0,0,0,0,0,"ROW"
"205","2015-05","BRAZIL",0,1624,0.01624,0.001624,"2015","05",0,0,0,0,0,0,"ROW"
"206","2015-05","BURMA",0,5179,0.05179,0.005179,"2015","05",0,0,0,0,0,0,"ROW"
"207","2015-05","CHINA",1,215957,2.15957,0.215957,"2015","05",0,0,0,0,0,0,"CHINA"
"208","2015-05","THAILAND",0,1200,0.012,0.0012,"2015","05",0,0,0,0,0,0,"THAILAND"
"209","2015-05","VIETNAM",0,8927783,89.27783,8.927783,"2015","05",0,0,0,0,0,0,"VIETNAM"
"210","2015-06","BRAZIL",0,500,0.005,0.0005,"2015","06",0,0,0,0,0,0,"ROW"
"211","2015-06","BURMA",0,17018,0.17018,0.017018,"2015","06",0,0,0,0,0,0,"ROW"
"212","2015-06","CHINA",3,176221,1.76221,0.176221,"2015","06",0,0,0,0,0,0,"CHINA"
"213","2015-06","THAILAND",0,600,0.006,0.0006,"2015","06",0,0,0,0,0,0,"THAILAND"
"214","2015-06","VIETNAM",0,9334326,93.34326,9.334326,"2015","06",0,0,0,0,0,0,"VIETNAM"
"215","2015-07","BANGLADESH",0,2322,0.02322,0.002322,"2015","07",0,0,0,0,0,0,"ROW"
"216","2015-07","CHINA",2,17690,0.1769,0.01769,"2015","07",0,0,0,0,0,0,"CHINA"
"217","2015-07","GUYANA",0,257,0.00257,0.000257,"2015","07",0,0,0,0,0,0,"ROW"
"218","2015-07","PAKISTAN",0,10773,0.10773,0.010773,"2015","07",0,0,0,0,0,0,"ROW"
"219","2015-07","VIETNAM",0,9080767,90.80767,9.080767,"2015","07",0,0,0,0,0,0,"VIETNAM"
"220","2015-08","CHINA",1,86673,0.86673,0.086673,"2015","08",0,0,0,0,0,0,"CHINA"
