word
ariidae
bagre
chihuil
panamensis
gillbacker
gilleybaka
whiskerfish
sciades
parkeri
asian
river
bagrid
fish
hemibagrus
spilopterus
red
mystus
wyckioides
gangetic
cavasius
longwhiskers
gulio
bagridae
tengara
striped
dwarf
vittatus
rita
sacerdotum
salween
sperata
aor
longwhiskered
synonym
baga
ayre
seenghala
clariidae
walking
clarias
batrachus
whitespotted
chinese
fuscus
sharptooth
gariepinus
broadhead
macrocephalus
callichthyidae
brown
hoplo
hassar
hoplosternum
littorale
heteropneustidae
stinging
heteropneustes
fossilis
ictaluridae
blue
catfish
ictalurus
furcatus
channel
punctatus
white
ameiurus
catus
black
bullhead
melas
yellow
natalis
nebulosus
flat
platycephalus
swai
sutchi
pangasius
tra
pangasianodon
hypophthalmus
basa
bocourti
mekong
giant
gigas
sanitwongsei
yellowtail
pimelodidae
laulau
kumakuma
piraiba
brachyplatystoma
filamentosum
marbled
pim
sailfin
pimeloid
leiarius
marmoratus
cachara
surubim
reticulated
shovelnose
pseudoplatystoma
reticulatum
schilbeidae
batashi
neotropius
acutirostris
ailia
coila
jamuna
ailiichthys
punctata
bacha
batchwa
vacha
eutropiichthys
potasi
indian
atherinoides
pseudeutropius
silond
silonia
silondia
siluridae
sheatfish
silurus
glanis
butter
glass
ompok
bimaculatus
pabdah
pabda
freshwater
shark
wallago
attu
phalacronotus
bleekeri
bleeker’s
synonyms
kryptopterus
whisker
micronema
sisoridae
goonch
ayres
bagarius
devil
yarrelli
