"","year_month","country_name","volume_sum","value_sum","refusal_count","USDA_dummy","year","month"
"90",Oct 2015,"BRAZIL",13066,54621,0,0,2015,10
"91",Oct 2015,"CHINA",120240,744967,0,0,2015,10
"92",Oct 2015,"GUYANA",553,4646,0,0,2015,10
"93",Oct 2015,"VIETNAM",8795185,23535706,0,0,2015,10
"94",Nov 2015,"CHINA",307195,2083348,2,0,2015,11
"95",Nov 2015,"VIETNAM",10133108,26794582,0,0,2015,11
"96",Dec 2015,"CHINA",861063,6305265,0,0,2015,12
"97",Dec 2015,"GUYANA",1917,19975,0,0,2015,12
"98",Dec 2015,"INDIA",547,3614,0,0,2015,12
"99",Dec 2015,"VIETNAM",9846156,25859761,0,0,2015,12
"100",Jan 2016,"BURMA",3503,27044,0,0,2016,1
"101",Jan 2016,"CHINA",1346610,9923601,0,0,2016,1
"102",Jan 2016,"GUYANA",1117,9379,0,0,2016,1
"103",Jan 2016,"PANAMA",521,2298,0,0,2016,1
"104",Jan 2016,"VIETNAM",10877390,29010569,0,0,2016,1
"105",Feb 2016,"CHINA",1270669,9048881,0,0,2016,2
"106",Feb 2016,"GUYANA",730,5827,0,0,2016,2
"107",Feb 2016,"THAILAND",1707,11272,0,0,2016,2
"108",Feb 2016,"VIETNAM",12346036,33266588,0,0,2016,2
"109",Mar 2016,"BRAZIL",560,4432,0,0,2016,3
"110",Mar 2016,"GUYANA",472,4164,0,0,2016,3
"111",Mar 2016,"ICELAND",1269,5598,0,0,2016,3
"112",Mar 2016,"SPAIN",480,2512,0,0,2016,3
"113",Mar 2016,"VIETNAM",8827334,23992933,0,0,2016,3
"114",Apr 2016,"BURMA",4626,34131,0,0,2016,4
"115",Apr 2016,"CHINA",17238,123068,1,0,2016,4
"116",Apr 2016,"GUYANA",2621,20616,0,0,2016,4
"117",Apr 2016,"THAILAND",11552,46930,0,0,2016,4
"118",Apr 2016,"VIETNAM",9026801,24964013,0,0,2016,4
"119",May 2016,"CHINA",70627,482347,0,0,2016,5
"120",May 2016,"VIETNAM",10626340,30365305,2,0,2016,5
"121",Jun 2016,"CHINA",75183,523875,0,0,2016,6
"122",Jun 2016,"GUYANA",1610,11957,0,0,2016,6
"123",Jun 2016,"THAILAND",1000,4648,0,0,2016,6
"124",Jun 2016,"VIETNAM",12609705,39832948,0,0,2016,6
"125",Jul 2016,"CHINA",105242,682005,0,0,2016,7
"126",Jul 2016,"GUYANA",9581,67733,0,0,2016,7
"127",Jul 2016,"THAILAND",18888,58901,0,0,2016,7
"128",Jul 2016,"VIETNAM",10699233,34460233,0,0,2016,7
"129",Aug 2016,"BANGLADESH",1448,3736,0,0,2016,8
"130",Aug 2016,"CHINA",70863,505125,0,0,2016,8
"131",Aug 2016,"GUYANA",1027,8489,0,0,2016,8
"132",Aug 2016,"THAILAND",16455,73124,0,0,2016,8
"133",Aug 2016,"VIETNAM",9928920,27461660,1,0,2016,8
"134",Sep 2016,"CHINA",217953,1511756,0,0,2016,9
"135",Sep 2016,"GUYANA",966,7125,0,0,2016,9
"136",Sep 2016,"VIETNAM",12441538,32319422,0,0,2016,9
"137",Oct 2016,"BURMA",6553,49778,0,0,2016,10
"138",Oct 2016,"CHINA",419018,2965885,0,0,2016,10
"139",Oct 2016,"GUYANA",347,2869,0,0,2016,10
"140",Oct 2016,"THAILAND",1160,4042,0,0,2016,10
"141",Oct 2016,"VIETNAM",12199869,32303990,1,0,2016,10
"142",Nov 2016,"CHINA",780116,5384379,5,0,2016,11
"143",Nov 2016,"GUYANA",1012,7289,0,0,2016,11
"144",Nov 2016,"SPAIN",720,9608,0,0,2016,11
"145",Nov 2016,"THAILAND",1100,5501,0,0,2016,11
"146",Nov 2016,"VIETNAM",12349522,33057186,0,0,2016,11
"147",Dec 2016,"CHINA",928588,6332049,0,0,2016,12
"148",Dec 2016,"GUYANA",1313,9946,0,0,2016,12
